tiempo,tokens_circulacion
13082.907682398522,126
13157.443158416436,127
13237.000570717566,127
13246.026153827062,128
13246.305523773312,129
13246.56023540164,130
13314.16671982545,130
13319.989334841972,131
13320.431469448602,132
13419.745190744032,132
13419.99367663937,133
13420.366458845368,134
13522.845095433608,134
13523.06885954778,135
13523.338632759403,136
13523.724866364688,137
13524.121200862077,138
13524.5177837064,139
13560.255715345222,139
13605.61768257481,139
13681.343889307962,140
13681.848717227223,141
13766.93775879051,141
13865.449357504714,140
13911.461474422416,140
13966.191591674296,141
14046.578359461624,142
14055.10655591801,142
14069.97396159074,141
14070.255826947336,142
14070.501368617415,143
14071.039306002423,144
14079.92557241488,145
14093.878499189144,146
14254.176128820389,147
14306.61580056326,148
14382.936168545068,148
14462.87855014465,148
14547.901641375332,148
14577.685833828538,149
14577.91166760169,150
14658.361630345016,151
14658.788760358788,152
14881.180283313555,153
14881.717511251452,154
14967.260345347548,154
14972.575211237352,154
15149.3489609512,154
15289.434198466892,155
15476.3113084903,155
15677.492969819034,156
15757.829597355763,157
16004.295423421012,157
16075.00220867768,158
16075.53757824337,159
16195.080826860953,160
16467.059218916802,161
16547.014044730688,161
16693.030995749355,161
16693.54495331407,162
16781.941377262712,162
16782.448640064184,163
16794.404896931414,164
16874.358081461498,164
16874.82879900074,165
17208.76688387079,164
17409.26027462734,165
17631.25633173314,166
17631.789858645297,167
17711.7445639813,167
17712.17690738383,168
17790.17454406349,168
17790.708430491955,169
17869.829850614733,169
17940.448579020052,170
17941.084513796235,171
18184.0995670524,171
18264.054381602866,171
18362.53680501581,171
18362.91644464545,172
18363.23080989502,173
18511.059097090416,173
18511.59609794296,174
18516.961607523,174
18517.49977893532,175
18597.29379303584,175
18597.78575998374,176
18796.47936125269,177
18876.43421529352,177
18919.910310114657,177
19054.816204474588,177
19055.057311789707,178
19265.36295485677,178
19265.682269262983,179
19342.669459968227,180
19342.910779704787,181
19345.14814966178,182
19444.527863548425,183
19554.66084626294,184
19554.92739578541,185
19682.931849389654,186
19683.391771049653,187
19683.92165917569,188
19689.23638578431,188
19849.14611334848,188
19849.45136488391,189
20032.1534368596,190
20112.07598447404,190
20112.612099832,191
20216.45442410075,191
20216.962437085727,192
20295.02647229528,192
20398.13359695903,192
20478.48162629089,193
20666.94852685916,194
20667.40120988995,195
20667.62402184647,196
20678.75346492328,197
20909.042985442564,197
21079.70258047081,198
21159.65139051665,198
21169.705077457133,199
21170.18570241659,200
21170.47228907832,201
21529.239547278165,201
21546.663231431736,200
21546.88670555805,201
21551.066613440024,202
21551.49431305448,203
21556.81282310881,203
21562.127865473503,203
21642.082411831456,203
21642.430790733662,204
21910.94033164401,205
21916.25631061013,205
21921.90069111778,205
21922.30184261908,206
22002.256704561893,206
22082.68069355202,207
22083.05590275444,208
22101.05684805008,207
22101.594908709198,208
22101.84233379124,209
22102.256195708607,210
22102.78994649441,211
22103.32747397896,212
22103.851069337703,213
22237.87383301524,213
22243.188563260446,213
22321.534844232,213
22431.61913065448,214
22472.838532858143,215
22700.404228649128,216
22708.42753726236,216
22788.38239806679,216
22788.920573761963,217
22826.30258489066,218
22906.78069524691,219
23003.36862895225,220
23003.60075146353,221
23003.887014427484,222
23004.15033723061,223
23004.474719875543,224
23269.72845648165,225
23283.425466821725,226
23291.311143699164,226
23371.26081097738,226
23371.64754522569,227
23378.5792762088,227
23378.82828489409,228
23463.073126072133,228
23622.98285518808,228
23830.39785971841,229
23830.65798919497,230
23910.59989010276,230
24010.40528414262,230
24010.81082660578,231
24011.03939758148,232
24023.87148000589,232
24024.35376969892,233
24031.264895910077,233
24031.731219585337,234
24112.192294223736,235
24297.970174345235,235
24298.42593690901,236
24515.25321311296,236
24515.72535668239,237
24516.190380278756,238
24829.95531821213,239
24830.4704650997,240
24923.0438975321,239
25182.70207354104,240
25207.498736614,241
25465.40280286159,242
25465.89858001788,243
25603.38521779558,243
25796.96880803652,243
25797.25693146984,244
25882.652624273647,245
25887.967363835724,245
25967.922228329346,245
25968.417066559978,246
25970.4325492396,247
25970.93144654305,248
26054.0697895996,249
26054.312891694542,250
26352.40709177055,250
26352.94339523007,251
26353.183543452004,252
26353.524635025584,253
26433.808236396468,254
26452.879020567707,255
26458.19374850848,255
26458.71782195793,256
26459.08501089343,257
26539.559657659796,258
26710.114640276523,258
26710.62167934564,259
26790.2645746737,259
26796.253920008305,259
26849.738332630903,259
26929.693193219,259
27035.6780557336,259
27036.107255283296,260
27060.93535476865,259
27061.406491773425,260
27064.68788812673,261
27079.20433640378,261
27079.678481937368,262
27138.95440862738,263
27139.18309783618,264
27203.84184550668,265
27283.77717473243,265
27284.246061504426,266
27284.49011385189,267
27289.808121218917,267
27295.122849274783,267
27295.65787178746,268
27296.1346261428,269
27376.568205447395,270
27456.52306824355,270
27461.838284723297,270
27462.35118721892,271
27541.51115198702,271
27641.52356036009,271
27641.74910484348,272
28028.132052453147,273
28028.5116068258,274
28451.54465633436,275
28531.751004949638,276
28534.26415763799,277
28534.62612733908,278
28535.115523528973,279
29038.24876052293,279
29131.640957873027,280
29211.59582237589,280
29211.87452339328,281
29468.80392854313,281
29569.244592496238,281
29649.19934171316,281
29729.201117728087,282
29729.72647131087,283
29730.03941779667,284
29730.46527391281,285
29731.00272524326,286
29832.454793141365,286
29832.690656085357,287
29913.00315099938,288
29913.306314218207,289
29993.607647811456,290
30087.632523775683,291
30090.809612098605,292
30091.329264579024,293
30337.586524387105,294
30590.95490343035,295
30591.189085779577,296
30632.58992694239,296
30632.97396009989,297
30633.33205648794,298
30733.838409398817,298
30739.444081266414,299
30819.39877070225,299
30819.93624559796,300
30820.16577697484,301
31065.534580461917,302
31274.3280315664,303
31274.853021621188,304
31335.94447228454,305
31415.898848860277,305
31502.484501977167,305
31502.71598138332,306
31503.17147973462,307
31503.69683401204,308
31504.1995660079,309
31584.1544305313,309
31660.72005669129,310
31740.67490286537,310
31862.32410990734,311
31999.079692441494,311
31999.551026104316,312
31999.81566426905,313
32070.256757247364,313
32219.225414621626,313
