tiempo,tokens_circulacion
27624.35791431189,219
27624.734328062186,220
27625.23258848601,221
27725.456665521582,222
27805.39647539993,222
27885.349198947904,222
27965.304044029308,222
27965.550167495785,223
27965.892051169285,224
28429.938273405038,225
28499.053769135116,226
28579.00863371272,226
28579.41001018114,227
28585.807476645397,227
28586.188981355263,228
28600.395470826457,228
28680.656682174133,229
28719.76091820982,230
28830.647028286523,231
28889.738512213247,231
29081.948150171396,231
29209.071101954058,232
29317.210735202603,232
29317.638050450547,233
29397.29427041299,234
29397.786696405718,235
29485.420581831182,235
29587.79351969116,236
29666.07239372149,237
29865.98571047978,237
29866.523834503005,238
30087.542118200417,237
30120.966490505973,238
30511.26948689681,238
30511.64071525539,239
30511.868208644297,240
30597.600449751775,241
30880.875497579254,242
30960.830362151763,242
30966.342273774884,242
30966.61596921795,243
31060.01716625565,243
31140.28508330851,244
31220.21923992212,244
31220.444298395476,245
31503.886032842045,245
31504.11424609663,246
31715.768862776902,246
31795.723620147717,246
31877.721978336507,246
31889.320774863954,245
31969.249326262583,245
32376.43100018493,245
32599.887554221306,246
32678.411075414282,246
32825.22955465092,246
32879.88447980088,245
32880.11371891703,246
32880.48070217791,247
32962.402617613196,248
33077.20430211905,249
33157.50522284561,250
33157.74895724812,251
33158.05756541167,252
33158.516981559704,253
33178.13643622145,254
33178.54154887181,255
33227.688252333064,256
33307.64308603666,256
33307.879959560756,257
33563.3174215621,257
33636.04649113812,258
33636.57838285085,259
33783.696419776934,259
33811.66000843964,260
33812.015969948116,261
33935.21306568534,262
33935.735734603135,263
34006.285604582125,263
34211.01412810292,263
34211.50938287359,264
34291.46424741821,264
34291.76554033023,265
34342.35865510287,266
34356.611327004466,267
34357.143146559974,268
34437.32018290345,269
34819.03995465002,269
34878.13460318216,269
35065.32399988099,269
35249.19629180155,270
35256.8659452111,271
35257.1287801216,272
35257.19671121958,271
35337.68956177948,272
35456.00818840614,273
35456.3773138126,274
35510.54022078588,275
35597.821112120764,274
35605.77328288775,275
35606.26601617682,276
35766.021866511524,276
36059.433675268265,277
36059.687295281205,278
36459.11600984668,279
36591.37160257299,280
36663.06653193122,279
36663.586840978474,280
36664.10252517022,281
36664.58382620835,282
36664.8497041747,283
36694.996801255154,284
36702.35236646048,285
36742.83719671703,285
36823.16842691271,286
36936.6646142892,286
36957.317824076505,286
37086.55015315453,286
37135.46072882979,286
37215.415190043765,286
37215.95333619176,287
37295.51693525489,288
37381.52142345291,289
37427.67181115779,290
37464.16285874855,289
37624.572872756435,290
37624.900534870685,291
37752.74708635721,292
38018.48901709046,292
38018.895866573774,293
38019.22366340191,294
38099.178527976175,294
38158.53479350397,295
38237.81912881167,295
38238.206087343446,296
38258.44349088854,297
38338.86296048922,298
38418.37378139801,298
38418.821410127086,299
38579.05334103925,300
38579.496614122414,301
38579.78484292308,302
38580.03811166055,303
38673.55619943391,303
38673.79833925847,304
38674.052707386356,305
38748.1298369578,306
38748.430512293286,307
38919.44674610829,308
38999.39844468745,308
39086.24179117831,308
39086.72471360766,309
39315.22502818267,309
39315.6117141129,310
39362.34351601814,311
39362.76348783858,312
39442.71835163175,312
39442.99620119034,313
39522.573043458404,313
39550.42270736367,314
39555.73743396721,314
39906.16401831289,314
39906.69961608194,315
40116.24458678366,315
40116.60101516213,316
40189.707172418304,316
40426.46738454696,317
40506.42224828936,317
40506.75846221532,318
40507.078426653155,319
40587.02973830604,319
40678.069417105005,319
40678.60722870709,320
